date,company,cleaned_headline,sentiment,sentiment_score
2025-05-29,AMZN,amazon amzn launches zeroone group to innovate consumer tech,neutral,0.56368583
2025-05-29,AMZN,amzn partners with new york times for content licensing deal amzn stock news,neutral,0.8454736
2025-05-29,AMZN,amazon amzn forms new team for innovative consumer products amzn stock news,neutral,0.8747842
2025-05-29,AMZN,amazon amzn and new york times forge ai licensing partnership amzn stock news,neutral,0.923155
2025-05-29,AMZN,cloud wars googles 75b bet against microsoft and amazon,neutral,0.80935717
2025-05-29,AMZN,investors double down on taco trade after tariff invalidation a tell from nvidia mass layoffs nvidia nasdaqnvda spdr sp 500 arcaspy,negative,0.94374853
2025-05-29,AMZN,amazon amzn partners with new york times for exclusive content agreement amzn stock news,neutral,0.84698933
2025-05-29,AMZN,performance comparison amazoncom and competitors in broadline retail industry amazoncom nasdaqamzn,neutral,0.74727005
2025-05-29,AMZN,new york times agrees to license content to amazon for ai use,neutral,0.52372736
2025-05-29,AMZN,chip stocks and big tech shares jump on trump tariffs ruling nvidias earnings and elon musk news,negative,0.72180253
2025-05-29,AMZN,c3ai eyes 47 billion agentic ai market by 2030 with 60 million arr we are well positioned to capitalize says ceo c3ai nyseai amazoncom nasdaqamzn,positive,0.72743684
2025-05-29,AMZN,nvda aapl amzn tem tsla 5 trending stocks today apple nasdaqaapl amazoncom nasdaqamzn,neutral,0.91117156
2025-05-29,AMZN,dow futures jump over 400 points amazon and walmart shares spike in afterhours trading after court blocks trump tariffs nikkei opens higher costco wholesale nasdaqcost amazoncom nasdaqamzn,positive,0.42537615
2025-05-28,AMZN,market direction to be driven by nvidia earnings consumer roars back with renewed faith in trump nvidia nasdaqnvda spdr sp 500 arcaspy,positive,0.9261378
2025-05-28,AMZN,amazoncom inc amzn will buy every single nvidia chip it can get says jim cramer,neutral,0.8105646
2025-05-28,AMZN,investigating amazoncoms standing in broadline retail industry compared to competitors amazoncom nasdaqamzn,positive,0.84767175
2025-05-28,AMZN,broadcom avgo is gaining market share in the aichip space tech researcher says,positive,0.93239325
2025-05-28,AMZN,us stock futures dip after sharp rally focus on nvidia earnings,negative,0.8187111
2025-05-28,AMZN,norways wealth fund ceo demands ai adoption among employees,negative,0.5882503
2025-05-27,AMZN,amazoncom inc amzn launches amazon aurora dsql for enhanced database performance amzn stock news,neutral,0.8867714
2025-05-27,AMZN,aggressive stock buying on japans bond tweak igniting a global bond rally progress with europe spdr sp 500 arcaspy,positive,0.8034308
2025-05-27,AMZN,exploring the competitive space amazoncom versus industry peers in broadline retail amazoncom nasdaqamzn,neutral,0.72019583
2025-05-27,AMZN,amazoncom amzn dropped on guidance that fell short of market expectations,negative,0.9720435
2025-05-27,AMZN,amazoncom inc amzn is attracting investor attention here is what you should know,neutral,0.8177804
