date,company,cleaned_headline,sentiment,sentiment_score
2025-05-29,AAPL,asx market open trump tariff appeal ruling bumps wall street up shakes oz shares may 30 2025,neutral,0.6442579
2025-05-29,AAPL,sonder holdings inc receives notification of deficiency from nasdaq related to delayed filing of quarterly report on form 10q,negative,0.9475854
2025-05-29,AAPL,nvidia nvda surges on strong earnings amid us stock market gains,positive,0.91297543
2025-05-29,AAPL,jim cramer on apple inc aapl theyll have the best ai,neutral,0.7754674
2025-05-29,AAPL,stock market today sp 500 and nasdaq rally on nvidia earnings court blocks trump tariffs,negative,0.6965712
2025-05-29,AAPL,wedbush apple inc nasdaqaapl could face us pressure but india key to avoiding 3500 iphones,positive,0.5706684
2025-05-29,AAPL,ubs maintains neutral rating on apple aapl keeps 210 pt,neutral,0.89773756
2025-05-29,AAPL,apple aapl faces decline in iphone shipments amid rising tariff concerns,negative,0.97352827
2025-05-29,AAPL,investors double down on taco trade after tariff invalidation a tell from nvidia mass layoffs nvidia nasdaqnvda spdr sp 500 arcaspy,negative,0.94374853
2025-05-29,AAPL,affirm expands partnership with williamssonoma inc into canada,positive,0.8209773
2025-05-29,AAPL,how to trade spy and top tech stocks after tariff ruling boosts market,neutral,0.8666745
2025-05-29,AAPL,us stocks rise as court ruling weakens trumps tariff authority tech leads rally on nvidia earnings,negative,0.4580095
2025-05-29,AAPL,apples perfect storm tariffs china ai and innovation nasdaqaapl,neutral,0.88310564
2025-05-29,AAPL,stock market today futures surge as court blocks trump tariffs and nvidia impresses,positive,0.88789564
2025-05-29,AAPL,podcastone nasdaq podc announces network expansion with launch of five new and acquired podcasts marks 11 additions in 2025 for a total of 208 shows,neutral,0.5073848
2025-05-29,AAPL,chip stocks and big tech shares jump on trump tariffs ruling nvidias earnings and elon musk news,negative,0.72180253
2025-05-29,AAPL,stock futures fade overnight gains after activist judges block trump tariffs nvda earnings impress,negative,0.87969965
2025-05-29,AAPL,recovery from startup failure hidden mistakes to avoid now,neutral,0.7834863
2025-05-29,AAPL,apple to launch ios 26 macos 26 in major rebrand tied to software redesigns,positive,0.7931874
2025-05-29,AAPL,wall street breakfast podcast judges check trumps trade,neutral,0.89264643
2025-05-29,AAPL,a 9 dividend to ride out the us debt downgrade,positive,0.8840583
2025-05-29,AAPL,forget ios 19 your next iphone update could be ios 26 as apple plans major os overhaul,neutral,0.9449907
2025-05-29,AAPL,jio platforms finds the right signal with nonconnectivity ventures,neutral,0.64206934
2025-05-29,AAPL,google launches direct sales of pixel phones in india a new retail era et retail,neutral,0.54377395
2025-05-29,AAPL,if trumps going to outright dismiss courts over liberation day were about to find out,neutral,0.82753074
