,date,company,cleaned_headline,sentiment,sentiment_score
0,2025-05-29,GOOGL,bill nygrens strategic moves constellation brands inc takes center stage with 112 portfolio impact,neutral,0.78456926
1,2025-05-29,TSLA,market today nvidia nvda leads ai surge amid strong earnings,positive,0.926326
2,2025-05-29,AAPL,asx market open trump tariff appeal ruling bumps wall street up shakes oz shares may 30 2025,neutral,0.6442579
3,2025-05-29,AAPL,sonder holdings inc receives notification of deficiency from nasdaq related to delayed filing of quarterly report on form 10q,negative,0.9475854
4,2025-05-29,MSFT,netapp reports record results for fourth quarter and fiscal year 2025,positive,0.9225117
5,2025-05-29,TSLA,tesla tsla rating downgraded amid price concerns,negative,0.95206755
6,2025-05-29,AAPL,nvidia nvda surges on strong earnings amid us stock market gains,positive,0.91297543
7,2025-05-29,TSLA,nvidia nvda surges on strong earnings amid us stock market gains,positive,0.91297543
8,2025-05-29,TSLA,whats next for tesla as musk departs trump white house,neutral,0.93311036
9,2025-05-29,MSFT,stock market today markets close higher amid trump tariff legal battle nvidia leads tech gains,positive,0.88922113
10,2025-05-29,GOOGL,sp 500 gains and losses today hp best buy stocks drop as tariffs weigh on outlook,negative,0.9675704
11,2025-05-29,AAPL,jim cramer on apple inc aapl theyll have the best ai,neutral,0.7754674
12,2025-05-29,TSLA,tesla tsla announces robotaxi launch in austin tsla stock news,neutral,0.9262555
13,2025-05-29,AAPL,stock market today sp 500 and nasdaq rally on nvidia earnings court blocks trump tariffs,negative,0.6965712
14,2025-05-29,TSLA,stock market today sp 500 and nasdaq rally on nvidia earnings court blocks trump tariffs,negative,0.6965712
15,2025-05-29,AMZN,amazon amzn launches zeroone group to innovate consumer tech,neutral,0.56368583
16,2025-05-29,AMZN,amzn partners with new york times for content licensing deal amzn stock news,neutral,0.8454736
17,2025-05-29,AMZN,amazon amzn forms new team for innovative consumer products amzn stock news,neutral,0.8747842
18,2025-05-29,AAPL,wedbush apple inc nasdaqaapl could face us pressure but india key to avoiding 3500 iphones,positive,0.5706684
19,2025-05-29,TSLA,tesla tsla advocates for gradual phaseout of energy tax credits tsla stock news,neutral,0.8943687
20,2025-05-29,AMZN,amazon amzn and new york times forge ai licensing partnership amzn stock news,neutral,0.923155
21,2025-05-29,GOOGL,google to launch direct sales and physical stores in india,neutral,0.6687722
22,2025-05-29,TSLA,td cowen maintains buy rating on tesla tsla,neutral,0.8800814
23,2025-05-29,AAPL,ubs maintains neutral rating on apple aapl keeps 210 pt,neutral,0.89773756
24,2025-05-29,TSLA,stock market today markets climb as court blocks trump tariffs and nvidia impresses,positive,0.88854194
25,2025-05-29,AAPL,apple aapl faces decline in iphone shipments amid rising tariff concerns,negative,0.97352827
