date,company,cleaned_headline,sentiment,sentiment_score
2025-05-29,MSFT,netapp reports record results for fourth quarter and fiscal year 2025,positive,0.9225117
2025-05-29,MSFT,stock market today markets close higher amid trump tariff legal battle nvidia leads tech gains,positive,0.88922113
2025-05-29,MSFT,cloud wars googles 75b bet against microsoft and amazon,neutral,0.80935717
2025-05-29,MSFT,microsoft msft stock nears record high as azure cloud business surges,positive,0.909814
2025-05-29,MSFT,stock market today markets rally as court blocks trump tariffs and nvidia impresses,positive,0.8807092
2025-05-29,MSFT,nvidia stock soars after earningsas stocks broadly rally on tariff ruling,positive,0.7293762
2025-05-29,MSFT,these 4 quantum stocks outperformed in mayis there more room to run,positive,0.87187946
2025-05-29,MSFT,tesla block ride bitcoin boom as microstrategy goes all in strategy nasdaqmstr tesla nasdaqtsla block nysexyz,neutral,0.84009635
2025-05-29,MSFT,comscore adds consumer ai tool usage data to its industryleading suite of reporting scor stock news,neutral,0.8918498
2025-05-29,MSFT,stock market today futures surge as court blocks trump tariffs and nvidia impresses,positive,0.88789564
2025-05-29,MSFT,chip stocks and big tech shares jump on trump tariffs ruling nvidias earnings and elon musk news,negative,0.72180253
2025-05-29,MSFT,stock futures fade overnight gains after activist judges block trump tariffs nvda earnings impress,negative,0.87969965
2025-05-29,MSFT,top 5 stock buys for june ai picks that arent nvidia,neutral,0.9353792
2025-05-29,MSFT,microsoft current valuation is a gift nasdaqmsft,neutral,0.9422898
2025-05-29,MSFT,a 9 dividend to ride out the us debt downgrade,positive,0.8840583
2025-05-29,MSFT,c3ai eyes 47 billion agentic ai market by 2030 with 60 million arr we are well positioned to capitalize says ceo c3ai nyseai amazoncom nasdaqamzn,positive,0.72743684
2025-05-29,MSFT,how high can nvidia stock price go strong nvda earnings and new 185 share predictions,neutral,0.6162262
2025-05-29,MSFT,nvidia record 44b quarter signals strength despite china export headwinds,positive,0.934726
2025-05-28,MSFT,20 ways data analytics gives physical stores a competitive edge,positive,0.7804891
2025-05-28,MSFT,microsoft stock rallies 33will nvidias earnings be the next catalyst,neutral,0.837071
2025-05-28,MSFT,assessing microsofts performance against competitors in software industry microsoft nasdaqmsft,neutral,0.8597074
2025-05-28,MSFT,why an investment bank remains bullish on microsoft msft,neutral,0.8559121
2025-05-28,MSFT,broadcom avgo is gaining market share in the aichip space tech researcher says,positive,0.93239325
2025-05-28,MSFT,agentic ai can salesforces ai pivot lead to real growth,neutral,0.83597636
2025-05-28,MSFT,tesla why analysts think it could jump another 47,neutral,0.46297812
2025-05-28,MSFT,malaysia refuses to pick sides in uschina tech war vows to work with both we choose what is best microsoft nasdaqmsft arm holdings nasdaqarm,neutral,0.8337055
2025-05-28,MSFT,futures erases overnight loss trade higher ahead of nvidia earnings,positive,0.4444938
2025-05-28,MSFT,microsoft msft gets 540 price target analyst sees 24 billion ai revenue boom,positive,0.57868826
2025-05-28,MSFT,microsoft stock 3 reasons why its still a strong buy nasdaqmsft,neutral,0.6293625
2025-05-28,MSFT,trump world tries to corner crypto,neutral,0.879812
2025-05-28,MSFT,the wild ride of informatica 32 years 2 ipos to 8 billion acquisition by salesforce,neutral,0.842132
2025-05-27,MSFT,iceberg research predicts downfall for the metals company tmc tmc stock news,negative,0.9644813
2025-05-27,MSFT,nvidia reports q1 earnings this week heres what to expect,neutral,0.9282507
2025-05-27,MSFT,alaska communications welcomes yasir alvi as cfo,neutral,0.8091063
2025-05-27,MSFT,super micro computer smci shares climb 5 after fiveday slump,positive,0.8193777
2025-05-27,MSFT,democrats favor big tech republicans pick bitcoinetf returns tell the story,neutral,0.9230092
2025-05-27,MSFT,alaska communications welcomes yasir alvi as cfo atni stock news,neutral,0.8803691
2025-05-27,MSFT,builderais shocking 450m fall microsoft and qiabacked nocode ai darling files for bankruptcy after creditor seizure,negative,0.60705864
2025-05-27,MSFT,todays midday market update stocks rally as trump delays eu tariffs,negative,0.8965643
2025-05-27,MSFT,nvidia nvda earnings awaited as us stocks rise tsla and pdd in focus,negative,0.5745801
2025-05-27,MSFT,terranet invites you to a digital investor meeting on june 3 2025,neutral,0.9384482
2025-05-27,MSFT,investigating microsofts standing in software industry compared to competitors microsoft nasdaqmsft,positive,0.5936925
2025-05-27,MSFT,was jim cramer right about microsoft corporation msft,neutral,0.9022858
2025-05-27,MSFT,authid announces its 2025 board of directors nominees ahead of annual meeting,neutral,0.87883145
2025-05-27,MSFT,microsoft msft and nvidia nvda named as top picks by veteran investor,positive,0.71769285
2025-05-27,MSFT,should you buy amzn stock at 33 times earnings,neutral,0.9456706
2025-05-27,MSFT,stocks jump as japan panics about soaring bond yields,negative,0.7905224
2025-05-27,MSFT,us stock market futures today dow surges over 500 points sp 500 and nasdaq rally as trump delays eu tariffs tech giants like apple microsoft and nvidia lead gains,positive,0.8192726
2025-05-27,MSFT,authid announces its 2025 board of directors nominees ahead of annual meeting,neutral,0.87883145
2025-05-27,MSFT,stock market today futures surge as trump delays eu tariffs,positive,0.737609
2025-05-27,MSFT,1 nobrainer sp 500 index fund to buy right now for less than 200,neutral,0.9186279
2025-05-27,MSFT,us stock futures higher after trump said he will delay eu tariffs,positive,0.5561676
2025-05-27,MSFT,is the vanguard mega cap growth etf your ticket to mega returns,neutral,0.8773566
2025-05-27,MSFT,2 unstoppable dividend stocks to buy and hold forever,neutral,0.93027264
