date,company,cleaned_headline,sentiment,sentiment_score
2025-05-29,NVDA,trumps tariff playbook under firewhat comes next for markets,neutral,0.9104179
2025-05-29,NVDA,nvidia nvda drives us stocks higher amid trade uncertainty,positive,0.8631272
2025-05-29,NVDA,market today nvidia nvda leads ai surge amid strong earnings,positive,0.926326
2025-05-29,NVDA,jim cramer says this is the easiest way for the market to get out of its tariff nightmare,positive,0.4980805
2025-05-29,NVDA,nvidia announces upcoming events for financial community nvda stock news,neutral,0.93641794
2025-05-29,NVDA,nvidia corp nvda announces participation in key financial conferences nvda stock news,neutral,0.91616726
2025-05-29,NVDA,netapp reports record results for fourth quarter and fiscal year 2025,positive,0.9225117
2025-05-29,NVDA,stock market today markets close higher amid trump tariff legal battle nvidia leads tech gains,positive,0.88922113
2025-05-29,NVDA,nvidia time to get greedy nasdaqnvda,neutral,0.92227495
2025-05-29,NVDA,sp 500 gains and losses today hp best buy stocks drop as tariffs weigh on outlook,negative,0.9675704
2025-05-29,NVDA,sa analyst upgrades nvda djt vktx brka beam nvdanasdaq,neutral,0.9281931
2025-05-29,NVDA,stock market today sp 500 and nasdaq rally on nvidia earnings court blocks trump tariffs,negative,0.6965712
2025-05-29,NVDA,bernstein reiterates outperform rating on nvidia nvda with 185 price target,neutral,0.3927885
2025-05-29,NVDA,dow edges back up in afternoon trading,positive,0.8834772
2025-05-29,NVDA,stock market today markets climb as court blocks trump tariffs and nvidia impresses,positive,0.88854194
2025-05-29,NVDA,us stock market today sp 500 dow and nasdaq surge as nvidia smashes earnings and trumps tariffs get crushed by court ruling is this the start of a historic market rally,negative,0.6011426
2025-05-29,NVDA,chinese stocks soar as us court blocks trump tariffs,negative,0.5032817
2025-05-29,NVDA,investors double down on taco trade after tariff invalidation a tell from nvidia mass layoffs nvidia nasdaqnvda spdr sp 500 arcaspy,negative,0.94374853
2025-05-29,NVDA,nvidia rallies as the rest of wall street drifts after a us court blocks many of trumps tariffs,negative,0.8069706
2025-05-29,NVDA,top stock movers now nvidia hp best buy and more,neutral,0.8971457
2025-05-29,NVDA,nasdaq sp rise as nvidia boost tariff ruling offsets weak gdp salesforce drags dow djidow jones indices,negative,0.7787527
2025-05-29,NVDA,nvidia stock nears its alltime high is it a buy now,positive,0.58545846
2025-05-29,NVDA,us stocks give back ground after early surge but remain higher,positive,0.59431416
2025-05-29,NVDA,comparing nvidia with industry competitors in semiconductors semiconductor equipment industry nvidia nasdaqnvda,neutral,0.71377456
2025-05-29,NVDA,tech stocks surge as nvidia nvda shines optimism grows for rate cuts,positive,0.7482375
2025-05-29,NVDA,tnl mediagene cohosts the 2025 generative ai conference expands presence in ai ecosystem in asia,positive,0.8748272
