,headline,date,company
0,Amazon (AMZN) Launches ZeroOne Group to Innovate Consumer Tech,2025-05-29 18:56:21+00:00,AMZN
1,AMZN Partners with New York Times for Content Licensing Deal | AMZN Stock News,2025-05-29 18:45:40+00:00,AMZN
2,Amazon (AMZN) Forms New Team for Innovative Consumer Products | AMZN Stock News,2025-05-29 18:30:34+00:00,AMZN
3,Amazon (AMZN) and New York Times Forge AI Licensing Partnership | AMZN Stock News,2025-05-29 17:45:22+00:00,AMZN
4,Cloud Wars: Google’s $75B Bet Against Microsoft and Amazon,2025-05-29 16:40:00+00:00,AMZN
5,"Investors Double Down On Taco Trade After Tariff Invalidation; A Tell From Nvidia; Mass Layoffs - NVIDIA (NASDAQ:NVDA), SPDR S&P 500 (ARCA:SPY)",2025-05-29 16:18:18+00:00,AMZN
6,Amazon (AMZN) Partners with New York Times for Exclusive Content Agreement | AMZN Stock News,2025-05-29 15:15:51+00:00,AMZN
7,Performance Comparison: Amazon.com And Competitors In Broadline Retail Industry - Amazon.com (NASDAQ:AMZN),2025-05-29 15:01:19+00:00,AMZN
8,New York Times Agrees to License Content to Amazon for AI Use,2025-05-29 14:40:20+00:00,AMZN
9,"Chip stocks and Big Tech shares jump on Trump tariffs ruling, Nvidia’s earnings, and Elon Musk news",2025-05-29 12:26:00+00:00,AMZN
10,"C3.ai Eyes $47 Billion Agentic AI Market By 2030 With $60 Million ARR: 'We Are Well Positioned To Capitalize,' Says CEO - C3.ai (NYSE:AI), Amazon.com (NASDAQ:AMZN)",2025-05-29 08:51:19+00:00,AMZN
11,"NVDA, AAPL, AMZN, TEM, TSLA: 5 Trending Stocks Today - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AMZN)",2025-05-29 02:46:03+00:00,AMZN
12,"オーバ-ザ-トップ（OTT）市場パーソナライズド・ストリーミング、5G統合、AIを活用したコンテンツ配信の飛躍的成長により、2033年までに7,306億米ドルに達すると予測され、急成長が見込まれる",2025-05-29 02:00:00+00:00,AMZN
13,"Dow Futures Jump Over 400 Points, Amazon And Walmart Shares Spike In After-Hours Trading After Court Blocks Trump Tariffs: Nikkei Opens Higher - Costco Wholesale (NASDAQ:COST), Amazon.com (NASDAQ:AMZN",2025-05-29 01:34:23+00:00,AMZN
14,モバイルアプリケーション市場 2025-2032 成長、イノベーション、市場ダイナミクス,2025-05-29 00:30:00+00:00,AMZN
15,"Market Direction To Be Driven By Nvidia Earnings, Consumer Roars Back With Renewed Faith In Trump - NVIDIA (NASDAQ:NVDA), SPDR S&P 500 (ARCA:SPY)",2025-05-28 17:21:14+00:00,AMZN
16,"Amazon.com, Inc. (AMZN) Will Buy Every Single NVIDIA Chip It Can Get, Says Jim Cramer",2025-05-28 16:59:59+00:00,AMZN
17,Investigating Amazon.com's Standing In Broadline Retail Industry Compared To Competitors - Amazon.com (NASDAQ:AMZN),2025-05-28 15:00:49+00:00,AMZN
18,"Broadcom (AVGO) Is Gaining Market Share in the AI-Chip Space, Tech Researcher Says",2025-05-28 14:26:28+00:00,AMZN
19,Inwestorzy czekają na Nvidię i protokoły FOMC,2025-05-28 13:32:35+00:00,AMZN
20,Валидол – самый ходовой коммодитиз на биржах. Непослушные индексы США и перспективы Nvidia,2025-05-28 10:43:04+00:00,AMZN
21,"US stock futures dip after sharp rally, focus on Nvidia earnings",2025-05-28 09:44:03+00:00,AMZN
22,Norway's Wealth Fund CEO demands AI adoption among employees,2025-05-28 00:17:26+00:00,AMZN
23,Amazon.com Inc (AMZN) Launches Amazon Aurora DSQL for Enhanced Database Performance | AMZN stock news,2025-05-27 22:07:19+00:00,AMZN
24,"Aggressive Stock Buying On Japan's Bond Tweak Igniting A Global Bond Rally, Progress With Europe - SPDR S&P 500 (ARCA:SPY)",2025-05-27 16:40:02+00:00,AMZN
25,Exploring The Competitive Space: Amazon.com Versus Industry Peers In Broadline Retail - Amazon.com (NASDAQ:AMZN),2025-05-27 15:00:56+00:00,AMZN
26,Amazon.com (AMZN) Dropped on Guidance That Fell Short of Market Expectations,2025-05-27 13:52:54+00:00,AMZN
27,"Amazon.com, Inc. (AMZN) is Attracting Investor Attention: Here is What You Should Know",2025-05-27 13:00:12+00:00,AMZN
28,Norway Wealth Fund Chief Tells Staff That Using AI Is a Must,2025-05-27 09:01:57+00:00,AMZN
29,"Quantum Computing Stocks In Focus: Pure Play Vs. Large Caps - Here's A Look At The Valuations - Alphabet (NASDAQ:GOOG), Amazon.com (NASDAQ:AMZN)",2025-05-27 07:49:46+00:00,AMZN
30,"パブリッククラウド市場はマルチクラウド戦略、AI統合、エッジコンピューティング、スケーラブルなクラウドネイティブインフラ革新の急速な導入により、2033年までに1兆3,421億米ドルに急増すると予測",2025-05-27 02:00:00+00:00,AMZN
31,Market Analysis: Amazon.com And Competitors In Broadline Retail Industry - Amazon.com (NASDAQ:AMZN),2025-05-26 15:00:44+00:00,AMZN
32,"Elon Musk: Saudi Arabia approves use of Starlink for maritime, aviation purposes",2025-05-26 14:37:30+00:00,AMZN
33,Invest with Confidence: Intrinsic Value Unveiled of Amazon.com Inc,2025-05-26 12:02:06+00:00,AMZN
34,"Unprecedented Demand For Nvidia's GB200 Drives Accelerated Production: 'Taiwan Engineers Are Working Incredibly Hard,' Says Expert - Microsoft (NASDAQ:MSFT), Amazon.com (NASDAQ:AMZN)",2025-05-26 09:39:31+00:00,AMZN
35,What Investors Get Wrong About CEF Fees and Miss Out on 8%+ Yields,2025-05-26 09:20:00+00:00,AMZN
36,"Amazon, Microsoft, Google and Shopify Are Racing To Integrate AI, Now Engineers Say They're Working Faster With Less Thinking Time — And More Pressure Than Ever - Alphabet (NASDAQ:GOOG), Amazon.com (N",2025-05-26 05:02:54+00:00,AMZN
37,【Joe’s華爾街脈動】關稅震盪撼動市場：不確定性籠罩市場，建議謹慎應對,2025-05-25 23:22:14+00:00,AMZN
38,Truist Reiterates Buy on Amazon.com (AMZN) as Q2 Revenue Tracks Ahead,2025-05-25 05:52:17+00:00,AMZN
39,Billionaire Bill Ackman bets big on battered e-commerce giant,2025-05-24 23:00:00+00:00,AMZN
40,'Everyone will want one…': Elon Musk makes huge announcement on humanoid robots | Starlink deal,2025-05-24 17:49:52+00:00,AMZN
41,"Insider Sell: David Zapolsky Sells 20,670 Shares of Amazon.com Inc (AMZN)",2025-05-24 01:00:29+00:00,AMZN
42,"Amazon.com, Inc. (AMZN) Announces Results of Annual Shareholder Meeting",2025-05-24 00:30:28+00:00,AMZN
43,Amazon es demandada en EU por presunta venta de arroz contaminado,2025-05-24 00:11:30+00:00,AMZN
