,headline,date,company
0,NetApp Reports Record Results for Fourth Quarter and Fiscal Year 2025,2025-05-29 22:00:04+00:00,MSFT
1,"Stock Market Today: Markets Close Higher Amid Trump Tariff Legal Battle, Nvidia Leads Tech Gains",2025-05-29 21:02:20+00:00,MSFT
2,Cloud Wars: Google’s $75B Bet Against Microsoft and Amazon,2025-05-29 16:40:00+00:00,MSFT
3,Microsoft (MSFT) Stock Nears Record High as Azure Cloud Business Surges,2025-05-29 16:10:45+00:00,MSFT
4,Stock Market Today: Markets Rally as Court Blocks Trump Tariffs and Nvidia Impresses,2025-05-29 15:02:03+00:00,MSFT
5,Nvidia Stock Soars After Earnings—As Stocks Broadly Rally On Tariff Ruling,2025-05-29 14:06:00+00:00,MSFT
6,These 4 Quantum Stocks Outperformed in May—Is There More Room to Run?,2025-05-29 14:00:00+00:00,MSFT
7,"Tesla, Block Ride Bitcoin Boom As MicroStrategy Goes All In - Strategy (NASDAQ:MSTR), Tesla (NASDAQ:TSLA), Block (NYSE:XYZ)",2025-05-29 13:47:24+00:00,MSFT
8,Comscore Adds Consumer AI Tool Usage Data to Its Industry-Leading Suite of Reporting | SCOR Stock News,2025-05-29 13:30:40+00:00,MSFT
9,Stock Market Today: Futures Surge as Court Blocks Trump Tariffs and Nvidia Impresses,2025-05-29 13:01:55+00:00,MSFT
10,"Chip stocks and Big Tech shares jump on Trump tariffs ruling, Nvidia’s earnings, and Elon Musk news",2025-05-29 12:26:00+00:00,MSFT
11,"Stock Futures Fade Overnight Gains After Activist Judges Block Trump Tariffs, NVDA Earnings Impress",2025-05-29 12:20:10+00:00,MSFT
12,От «удушения» иностранных облачных сервисов российские пользователи не выиграют,2025-05-29 12:14:00+00:00,MSFT
13,Top 5 Stock Buys for June: AI Picks That Aren’t NVIDIA,2025-05-29 12:05:00+00:00,MSFT
14,Microsoft: Current Valuation Is A Gift (NASDAQ:MSFT),2025-05-29 11:36:15+00:00,MSFT
15,A 9% Dividend to Ride Out the US Debt Downgrade,2025-05-29 09:06:00+00:00,MSFT
16,NVDA Stock Overvalued At $140?,2025-05-29 09:00:16+00:00,MSFT
17,"C3.ai Eyes $47 Billion Agentic AI Market By 2030 With $60 Million ARR: 'We Are Well Positioned To Capitalize,' Says CEO - C3.ai (NYSE:AI), Amazon.com (NASDAQ:AMZN)",2025-05-29 08:51:19+00:00,MSFT
18,Asien-Expansion: Microsoft baut Cloud-Infrastruktur mit neuer Region in Indonesien aus,2025-05-29 08:36:00+00:00,MSFT
19,How High Can Nvidia Stock Price Go? Strong NVDA Earnings and New $185 Share Predictions,2025-05-29 08:32:08+00:00,MSFT
20,Nvidia: Record $44B Quarter Signals Strength Despite China Export Headwinds,2025-05-29 04:23:00+00:00,MSFT
